rxnid	ecnum	substrates	products
7298	1.14.99.9	4 233 75 13853 	13 13854 286 
7323	4.2.1.1	21 13 	3569 
7337	4.5.1.-	13921 	13922 4 765 
7440	1.1.1.195	14100 286 	4 14101 233 
7715	1.3.1.33	14589 286 	233 14590 
7734	4.2.1.46	14625 	13 5214 
7841	2.7.8.12	14807 10589 	221 10589 
7991	3.6.3.35	7 15064 13 	115 4 15064 45 
8103	2.7.1.89	7 1995 	4 15257 45 
8109	1.5.1.46	15268 286 	4 15269 233 
8230	2.7.7.40	131 4 4284 	15480 10 
8429		932 15829 120 	6433 115 4 13 
8481	3.6.1.15	15927 13 	115 4 15928 
8594	3.6.1.-	16137 13 	4 10 16138 
8632	1.1.99.28	271 	464 1582 
8740		16393 4810 	16394 172 
8756	2.5.1.105	16419 16420 	16421 10 
8768	2.1.1.43	16435 16436 	4 16437 16438 
8827	1.3.1.-	286 15135 	4 233 236 
8861	2.1.1.107	0 7200 	16611 5 
8971	2.7.1.108	131 16804 	4 756 16805 16806 
9018	1.2.1.76	135 172 286 	4 70 233 
9080	1.3.1.21	16995 286 	4 16996 233 
9097	1.3.1.28	17025 245 	13137 4 1054 
9190	1.19.6.1	7 13 17181 	115 4 120 2040 45 
9199	1.2.2.2	903 170 13 	53 21 17198 
9209	1.16.1.9	259 286 17215 	4 233 364 
9240		3491 17263 	17264 4 45 
9340	1.1.1.-	8514 245 	4 184 12558 
9423	4.2.1.8	17599 	17600 13 
9546	2.7.1.15	7 	4 6474 45 
9577		17874 	17874 
9597	2.4.1.-	17902 	17904 4 17903 
9602	6.3.4.18	21 7 17914 13 	115 17915 45 
9938	2.5.1.104	12459 18494 	4 4005 18495 
9990	4.2.1.-	18587 	18588 13 
10126	1.10.3.2	13137 75 	13 
10147	4.2.3.120	18860 	10 18861 
10176	1.3.3.3	18913 75 	641 21 13 
10256	2.6.1.48	9373 382 	19042 342 
10451		19364 	4 19365 183 
10453	4.1.1.-	4 557 	21 19368 
10496	2.1.1.-	0 19439 	19440 4 5 
10653	4.2.1.9	19707 	2060 13 
10677	2.1.1.-	0 19747 	19748 5 
10742	3.7.1.3	19865 13 	4 7157 19866 
10782	2.7.-.-	19926 7 	4162 45 
10806	1.14.13.-	4 310 184 75 	245 19978 13 
10828	2.1.1.13	20016 20015 	1256 2728 
10865		20071 1054 	245 315 765 
10895	1.2.3.-	75 13 20127 	20128 4 121 
10968	2.4.1.90	17762 823 	20258 4 559 
10988	2.1.1.86	4725 20294 	20295 16792 
11006	2.1.1.-	0 20326 	5 20327 
11031		20368 	20369 
11074	6.3.2.37	20436 5444 7 	115 4 20437 45 
11077	2.7.1.40	5120 170 	20441 1561 
11081	1.12.98.2	20448 2040 	4 2939 
11117	2.1.1.-	0 20498 	20499 4 5 
11142	4.2.1.47	20547 	20548 13 
11222		115 	115 
11292	2.2.1.6	170 	2592 21 
11330	1.3.99.12	20884 4 1173 	20885 1175 
11343		17904 13 	4 20909 1261 17903 
11397	1.17.4.-	13 1726 	756 
11404	1.10.9.1	882 4 	4 15318 
11442	3.6.3.4	5120 13 21070 	115 20441 21070 
11484	2.6.1.77	21137 170 	21138 620 
11669	1.13.11.54	21449 75 	849 4 453 
11695	1.21.3.6	21494 75 	21495 13 
11754	1.1.1.23	245 21605 13 	4 10489 1054 
11882	2.7.4.14	499 7 	45 1726 
11899	1.1.3.15	417 75 	419 121 
11906	6.3.4.-	7626 21866 5290 	115 4 21867 476 
12038	2.1.3.3	15888 8969 	115 22086 
12113	1.4.3.16	4736 9883 	4 72 22223 
12131	4.1.2.54	22256 	22257 170 
12176		55 75 	4 121 124 
12196		640 75 13 	4 1526 121 
12224	3.5.1.93	22412 13 	15523 8444 
12231		737 	737 
12243	4.1.1.28	22446 	21 22447 
12329	2.1.1.315	0 22600 	4 5 22601 
12411	3.2.2.5	245 13 	16098 4 22748 
12485	1.14.16.4	8466 6020 75 	22882 20878 
12491	1.14.13.130	4 184 75 22893 	245 13 22894 
12581	4.1.1.5	2592 4 	21 23048 
12769	3.1.3.12	3365 13 	115 23380 
12789	2.7.7.34	145 4 5290 	23416 10 
12837	3.2.2.14	23497 13 	16098 4 23498 
12918	2.1.2.2	23644 23645 	4 23646 23647 
12955	2.3.1.-	23712 23713 	23714 271 
12996	2.7.1.108	131 23781 	4 756 23782 
12999	3.5.1.105	300 13 	53 23787 
13040	2.3.1.57	3296 	4 172 
13127	2.7.1.166	24002 7 	24003 4 45 
13180	3.6.1.19	1804 13 	4 1446 10 
13240	5.3.1.28	2634 	24194 
13304	1.1.1.153	12904 286 	4 233 24298 
13310	2.1.1.-	24305 687 	24306 4 2861 
13380		4 24426 	4 24426 
13421	3.1.3.77	24498 13 	115 4 21449 
13427	1.14.13.-	4 233 75 24508 	13 24509 286 
13440		24533 	24534 
13534	6.3.2.12	342 7 24681 	115 4 21565 45 
13552	4.2.1.22	24708 326 	24709 13 
13569	2.1.1.222	0 24739 	4 24740 5 
13597		24783 	24784 
13800	3.5.1.10	13 543 	849 2728 
13918	1.1.1.78	245 25341 	4 17801 1054 
13948	1.3.99.3	1175 25391 	4 1173 19375 
14057	1.3.1.28	17025 245 	13137 4 184 
14061		25600 25599 	25601 4 53 
14093	1.1.1.310	19524 245 	19523 4 184 
14146		563 75 382 	21 2230 72 
14301	3.2.1.42	26001 13 	4 476 271 
14317	2.7.1.86	7 184 	4 233 45 
14332	2.3.1.1	3296 342 	26051 4 172 
14387	2.8.3.-	26150 26151 	26152 26153 
14397	4.1.3.5	26169 172 	186 572 13 
14406	5.3.99.3	26183 	26184 
14462		26280 13 	4 26281 
14508		13 26350 	734 26351 
14546	2.4.1.-	9139 602 	4 26406 559 
14581	1.16.1.1	4 13445 286 	233 13453 
14588		26473 26474 	26475 13 
14719	3.6.3.31	26708 7 13 	115 26708 4 45 
14771		22131 4 13 	20757 120 
14783	4.2.3.67	66 	26817 10 
14960	4.1.3.-	27127 	170 1467 
15081	2.5.1.39	1694 17903 	27335 10 
15120	1.14.-.-	4 75 7771 	27398 13 
15133	2.1.2.4	55 27419 	2728 27420 
15313		4 27724 382 	342 27725 
15385		932 15829 120 	6433 115 4 13 
15517	3.3.2.8	920 922 13 	28096 
15630	2.4.2.4	115 28287 	28288 5512 
15657	4.2.1.-	28329 	28330 13 
15689	1.1.3.11	224 75 	3027 121 
16007	6.2.1.8	7 172 28926 	9 10 28927 
16079	5.3.1.4	29048 	29049 
16084	2.1.1.129	16160 0 	29058 4 5 
16097		29076 13 	4 29077 53 
