rxnid	ecnum	substrates	products
164537	2.7.7.62	4 741 5290 	741 10 10351 
164538	2.4.1.-	41894 225692 	4 225693 559 
164561		1816 124398 	225720 13 
164639	2.7.2.15	7 19755 	154294 4 45 
164668	2.7.4.14	1446 7 	4 45 559 
164714	3.5.3.18	69643 13 	22086 9901 
164737	1.2.1.19	245 108363 13 	4 184 9642 
164749	1.1.99.3	2546 4 110 	2544 111 
164823	3.3.2.1	226032 13 	17025 170 
164827	2.7.-.-	191590 5765 	5769 182686 
164834		131 4 226042 	21 226043 10 
164856	3.2.2.9	16437 13 	58984 282 
164868	5.3.3.1	226090 	110566 
165100	6.2.1.-	139184 2050 5765 	205991 10 13358 
165104	5.-.-.-	226351 	165614 
165135	4.1.1.11	4736 	21 3868 
165195	2.6.1.-	9642 170 	135 620 
165234	2.1.1.160	0 89849 	4 5 84890 
165238	3.12.1.1	4860 13 	784 4 4862 
165281	2.5.1.22	25705 18494 	4 4005 35626 
165306	5.2.1.14	3652 	197958 
165388		4 39717 	4 39717 
165474	1.14.19.10	73392 4 75 	226783 13 
165539	2.1.1.101	0 206263 	162320 4 5 
165564	2.1.1.195	687 415 	174345 2861 
165575	1.1.99.24	62199 382 	71 34859 
165630		226951 226952 	2912 226953 
165646	1.1.1.46	245 	4 184 907 
165696	2.3.1.54	3296 849 	170 172 
165731	1.1.1.1	67712 4 1054 	67713 245 
165740	2.7.7.-	129985 131 4 	10 227069 
165775	2.5.1.1	1042 30 	115 10 
165864	6.3.2.8	26518 7 620 	115 4 100023 45 
165894		7 106251 13 	115 106251 45 
165926	3.6.1.-	4576 13 	52841 10 
165933		38814 	38814 
165956	1.1.99.28	656 734 	464 1582 
165983		4 11144 	4 11144 
165992	2.7.7.13	5290 1803 	4345 10 
166088		342 7 233 	15889 115 45 286 
166103	2.3.1.109	54025 2047 	4 172 79167 
166132		21 153512 	2060 
166134	1.4.3.16	4736 75 	4 121 22223 
166165	4.1.2.13	227520 	211 29752 
166174	2.7.1.16	227526 7 	4 45 3663 
166197	2.6.1.-	227552 382 	227553 342 
166284	1.1.3.16	227648 75 	227649 121 
166369	1.2.1.51	170 172 286 	21 233 186 
166441	3.6.1.53	13 43326 	4 9 6474 
166520	1.21.4.-	4 184 14300 	245 9373 
166611	1.1.1.267	2386 191589 	2386 4 228026 
166640	1.10.3.-	46208 75 	13 228060 
166645	1.1.1.-	227649 4 184 	227648 245 
166740		187275 	10 228169 
166787		228238 	70481 
166810		228258 245 	4 137620 184 
166835		1811 148858 	1811 148858 
166923	1.1.1.330	228381 286 	4 233 228382 
166946	2.1.1.-	0 228406 	165554 4 5 
167039	5.3.3.-	228519 	120817 
167070	4.2.99.-	228556 	228557 271 
167095	6.2.1.26	159984 2050 5765 	228577 10 13358 
167144	3.1.3.1	929 13 	115 1213 
167154	3.6.1.5	1804 13 	115 4 1446 
167171	6.1.1.2	6020 7 	9 10 
167237	1.1.1.86	2386 95299 	2386 19707 
167262	4.2.1.110	228755 	228756 13 
167367	2.4.1.258	228886 228885 228884 	228887 4 16805 16806 
167425	1.1.1.-	228944 228943 286 	228945 4 233 
167433		58706 7 13 	58706 115 45 
167488	3.1.3.73	741 13 	115 741 81674 
167532	2.3.1.-	3570 4 3368 	229057 21 172 
167563		10095 	229092 13 
167604	2.5.1.47	15665 5964 	4 53 619 
167607	6.3.1.12	4736 229138 7 	229139 115 4 45 
167657		266 13 	116229 
167688	1.-.-.-	4 49813 	229219 
167731	1.3.1.34	120856 286 	229271 4 233 
167996	2.7.1.147	513 45 	516 4 517 9 
168114		25157 13 	4 62199 172 
168181	2.1.1.-	0 229813 	4 5 229814 
168295	5.4.2.6	27006 	273 
168298	3.1.6.-	229952 13 	784 4 68086 
168299	4.3.1.15	229953 13 	4 217 170 
168338	1.4.3.3	5444 75 13 	120 121 9372 
168462		4 18170 	4 18170 
168518	2.3.1.57	186 	4 172 220972 
168522	4.4.1.14	0 	230192 4 4005 
168541	2.7.7.58	4 7 7626 	10 230205 
168570		7 75193 13 	115 75193 45 
168610	1.2.1.75	20757 172 286 	5296 4 233 
168640	1.4.1.8	13 286 6575 	337 4 120 233 
168725		230422 13 	849 62533 
168755	4.1.2.13	227520 	211 29752 
168809		160 4 	160 4 
168891	[1.4.3.15, 1.4.3.1]	4736 75 13 	120 696 121 
168898	1.17.3.2	266 75 13 	121 267 
168911	5.5.1.23	230612 	230613 
168936	2.1.1.56	0 	4 5 
168946	2.7.7.-	4 15927 2860 	10 23132 
168986		7 13 6575 	115 4 45 6575 
169001	1.6.3.5	4 230715 75 	245 121 
169009	1.11.1.7	121 	13 
169016	6.2.1.14	14535 7 172 	1417 9 10 
169044	1.1.1.309	58203 286 	4 233 53999 
169055		4 230773 233 75 	230774 13 286 
169063	2.2.1.6	4 170 	2592 21 
169089		230818 4 20248 233 75 	230819 13 286 
169131	3.1.3.45	166856 13 	115 135146 
169156	2.1.1.-	7953 16436 	7954 4 16437 
169190	1.7.2.5	4 1116 	1488 13 
169235	2.3.1.109	41783 2047 	172 79167 
169263	3.2.1.193	231009 13 	231010 734 
169288	2.4.2.-	9650 21635 4 	21 10 231038 
169361		693 2047 	217109 72 
169363	2.4.1.-	4345 231116 	4 476 231117 
169463		2621 	2621 
169471	4.1.2.5	8704 	416 55 
169502	2.7.1.159	39538 7 	4 93877 45 
169592	4.6.1.2	5765 	231366 10 
169655	6.3.5.11	24784 2534 7 13 	115 4 342 30599 45 
169883	2.3.1.-	0 56337 	231698 21 4005 172 
169891	2.4.1.132	4345 231705 	4 231706 476 
169978	4.1.1.37	7200 4 	18913 21 
170019		231836 	21 186553 
170074		1811 11190 	1811 11190 
170223	1.3.1.22	232055 286 	4 233 114572 
170241	6.3.4.18	3569 7 37821 	115 4 17915 45 
170270	1.14.13.102	4 85766 233 75 	85767 5500 13 286 
170291	1.8.4.8	388 886 	115736 
170313	2.2.1.1	194963 93951 	93952 232153 
170316	1.1.1.366	245 4920 	4 184 345 
170332	1.1.1.348	232175 286 	4 233 152747 
170428	4.1.1.28	97751 	21 26474 
170456	2.6.1.52	141903 382 	342 48507 
170474	2.1.1.65	0 232335 	232336 4 5 
170492	3.5.1.90	738 13 	738 114980 232357 
170738		4 232629 75 	232630 13 
170823	3.2.1.91	13 12334 	2764 
170826		1194 95391 	4 232740 
170836	1.1.1.296	245 232749 	4 184 48777 
170886	1.1.1.-	4 233 17801 	53830 286 
170897	1.14.13.126	232823 4 233 75 	214440 13 286 
170937		5765 31162 	4 5769 132606 
170968	4.99.1.2	4 232893 	10562 53 13453 
171016	1.14.13.-	4 233 232936 75 	232937 13 286 
171057	1.14.13.61	4 184 75 232989 	245 232990 13 
171146		233089 2909 	2912 4 29692 
171190		233137 	640 13 
171284	3.2.1.44	13 	3549 
171404	4.4.1.5	1225 	17801 1770 
171450	1.14.12.12	114856 75 1054 	245 114857 
171478	2.4.2.-	28288 2176 	115 105295 
171631	1.14.11.-	233636 75 382 	21 72 13 28190 
171646		233654 7 13 	115 233654 45 
171662	4.1.3.42	118759 	419 170 
171698	2.7.9.2	7 170 13 	115 4 9 1561 
171856	3.1.5.1	40402 13 	4 14996 32810 
171914		2176 	2176 
171931	4.2.1.-	233968 13 	49164 
171940	1.8.3.2	233972 75 	233973 121 
171950		4 233982 	21 101798 
172052	1.1.1.236	248 286 	174194 4 233 
172079	3.5.3.1	41202 13 	4 96955 3005 
172086	2.3.1.57	3296 25705 	4 172 220972 
172174	1.14.13.13	1591 234218 75 	234219 1594 13 
172204	2.7.1.17	7 11995 	4 69992 45 
172263		2634 	115 234309 
172336	2.5.1.48	20248 58713 	4 24709 72 
172377	2.1.1.-	234435 0 	5 6842 
172401		234463 13 	234464 3404 
172531	4.1.2.13	234623 	12096 211 
172544	2.5.1.105	6771 16419 	107384 10 
172608	2.1.1.133	42089 687 	5 46967 
172638	3.1.3.80	197 13 	115 3672 
172668		1015 234761 	1365 234762 
172705	3.5.4.3	4 13 191 	120 266 
172755	5.4.99.14	128393 	119422 
172759	2.3.1.133	96048 1303 	10114 172 
172845	1.14.13.17	4 233 75 15998 	148240 13 286 
172880	2.7.1.39	2048 5765 	4 71017 5769 
173081	2.8.4.1	40514 20295 	40515 16346 
173177	2.4.1.17	557 57615 	4 235336 559 
173195		162320 	162320 
173232	3.5.1.-	124978 13 	4 217 91389 
173285	2.1.1.49	0 3868 	4 5 177893 
173334	2.6.1.28	339 127 	338 453 
173358	5.3.3.5	58819 	235541 
173375	2.1.1.-	234435 0 	4 5 6842 
173401	2.4.1.-	602 218670 	4 235595 559 
173409	2.7.1.-	7 43436 	45 138060 
173552	4.1.1.72	4 2060 	21 33002 
173609		4 233 214841 	13880 286 
173621	3.5.3.13	72037 13 	4 217 235848 
173673	2.5.1.94	0 765 	235908 127 
173816		128393 	128393 
173888	2.4.1.-	148534 602 	4 236136 559 
174013		39057 1811 	39057 1811 
174038		464 7 13 	464 115 45 
174187	6.3.2.17	342 7 2728 	115 236471 45 
174266	1.14.12.-	4 146710 184 75 	245 146711 
174285	2.4.1.129	106548 72471 16364 	106548 72471 183 
174332	3.2.1.-	138169 13 	9239 133086 
174352		4 236679 75 	236680 13 
174428	2.4.1.191	138169 557 	4 136185 559 
174584		1379 7 	4 132606 45 
174647	2.7.1.71	5765 181865 	207888 4 5769 
174719		7 2634 	4 237080 45 
174770	2.5.1.55	1561 13 71935 	115 135145 
174909	2.7.1.91	7 5532 	4 237310 45 
174951	2.4.1.100	15201 	12432 1851 
174967	4.2.1.-	1308 	13 34031 
174988	2.7.7.30	80917 4 5290 	7364 13973 10 
175045	5.4.1.2	4 5709 	237445 
175046	2.7.7.3	5765 237446 	10 188120 
175072	2.3.1.101	4177 4 16792 	4177 5213 41230 
175090	2.4.1.8	115 155 	27006 271 
175167		14300 	14300 
175293	2.7.7.13	5290 1803 	2274 10 
175412	1.14.99.-	237863 75 	100849 98215 
175496	2.7.4.6	5120 76515 	237962 20441 
175503	2.1.1.10	47443 93341 	47442 4 42501 
175525		0 4 141558 233 4507 75 	56981 21 5 10 13 286 
175538		186 13 126142 	4 238004 172 
175696	3.5.4.-	1780 13 	4 182085 
175704		516 	5892 
175716		342 7 	9 10 
175733		238224 	52555 
175758	1.2.1.3	932 245 13 	1392 4 1054 
175782	6.3.4.3	849 4 7 23647 	115 23644 45 
175821		7 13 21070 	115 45 21070 
175903	2.7.1.33	72631 7 	89875 4 45 
175937	1.14.13.-	4 238455 233 75 	238456 13 286 
175992		238528 	139376 282 
176012	1.21.4.2	120 13 1790 	115 4 55 
176050		238584 	238584 
176091	1.1.1.88	7090 245 172 	4 184 26169 
176103	2.4.1.-	121569 146021 	238645 559 
176108	1.6.3.3	4 184 75 	245 121 
176330	2.1.1.41	0 136563 	4 5 238907 
176498	1.1.1.224	286 95 	4 233 3194 
176518	2.7.7.10	4 1804 24140 	17762 10 
176680	1.1.1.283	286 623 	4 17801 233 
176756	2.4.1.129	169266 106548 	106548 183 
176847	3.7.1.21	239471 13 	4 59023 
176932	3.1.1.-	205 13 	239571 
176987	1.1.3.8	165018 	239633 
177083	5.4.99.18	148406 	122691 
177089		4 599 1213 	171028 13 
177090	1.2.1.3	245 213813 13 	4 184 83035 
177096	2.2.1.1	932 2634 	6474 12094 
177101	1.14.14.1	4 233 239752 75 	239753 13 286 
177125	3.1.3.41	13 6749 	115 6749 
177132	6.3.3.3	21 7 127597 	115 239785 45 
177230		97968 	239898 
177237	6.1.1.19	41783 7 	9 10 
177254	2.1.1.289	155706 687 	60674 2861 
177309	1.2.1.10	416 245 172 	3296 4 1054 
177354		240036 	4 150155 
177366	3.1.1.68	13 131036 	4 115449 
177499	2.7.7.57	240224 4 15927 	10 110559 
177531	1.14.16.1	8466 338 12904 75 	1682 122 13 
177728	2.5.1.49	1194 54830 	4 53 20015 
177767	1.5.1.12	245 81148 13 	30116 1054 
177775	2.3.1.222	115 249 	154294 172 
177819	3.1.1.6	134927 13 	134928 4 53 
177823	1.4.3.4	4 188295 75 13 	120 121 85148 
177851	6.4.1.8	3569 31943 7 13 	115 4 240632 45 
177871	2.3.3.10	3296 572 13 	2050 4 52861 
177889	2.7.1.64	58706 5765 	4 134964 5769 
177905	1.1.1.140	14596 245 	16020 4 1054 
177951		4 240747 233 75 	13 286 240748 
177986	2.7.7.10	4 24140 1804 	10 525 
177994		240798 	240799 
178104	1.8.1.2	1194 13 286 	886 233 
178137	3.5.2.15	52797 13 	21 240959 
178155	1.14.19.f	4 240981 75 	135287 13 
178259	6.2.1.4	73490 5290 172 	241104 115 476 
178280		8309 	8309 
178284	2.6.1.36	5444 382 	57747 342 
178326		7147 	241169 
178378		70 52376 	72 241229 
178482	4.2.1.17	13 25391 	241340 
178583	3.1.3.25	3120 13 	16160 115 
178611		7 1626 13 	115 4 1626 45 
178629	3.5.1.99	208115 13 	617 29387 
178709		4 233 241609 75 	159582 13 286 
178734	3.5.3.6	563 13 	4 22086 217 
178751	1.3.8.7	2546 4 2774 	2544 241648 
178837		50532 	4988 
178911	2.4.1.307	525 241822 	4 241823 559 
178986	4.2.1.130	752 4 	17801 13 
178992	2.4.2.30	8309 	16098 
178994	2.7.7.65	5290 	146090 10 
179102	1.1.1.21	4 233 	95535 286 
179174		242102 	211 50580 
179246	2.7.1.90	149354 10 	115 4 234623 
179305	3.1.3.-	242245 13 	9825 115 
179311	1.1.1.1	33002 1054 	64721 245 
179469		4 242405 233 75 	242406 13 286 
179525	1.14.13.154	165536 4 233 75 	4599 13 286 
179548	2.3.1.-	242481 242480 	242482 271 
179555	1.1.1.269	242487 245 	4 28709 184 
179658	4.1.1.49	7 696 	21 1561 45 
179713		242631 7 13 	115 4 242631 45 
179760		4862 	4862 
179790		40003 	40003 
179871	2.7.9.2	5765 170 13 	115 4 1561 13358 
179929	2.1.1.143	0 75537 	4 5 201402 
179939	2.1.1.10	35360 20015 	4 1256 
179947		7 148858 13 	115 148858 45 
179950	1.14.13.-	4 233 59146 75 	242895 13 286 
179973		4 125694 	17801 
179983	1.16.1.-	259 4 286 	233 18170 
180035	2.4.1.186	602 	559 
180094	3.7.1.11	68096 13 	164768 4 
180113	5.4.99.18	17915 	122691 
180142	3.5.4.26	103373 13 	217 103374 
180245	4.1.1.18	72113 4 	21 6872 
180308		290 5290 	151955 4 476 
180323		7 13 27007 	115 45 27007 
180346	6.1.1.4	5765 243356 	10 13358 
180371	2.3.1.57	3296 26708 	109835 172 
180477	5.1.3.2	602 	525 
180518	2.4.1.-	121569 243547 	4 559 243548 
180656		4 233 243706 75 	243707 13 286 
180689	3.5.1.16	74374 13 	212 53 
180788	2.3.1.-	3296 5215 	4 149348 172 
180827	3.2.1.170	194113 13 	645 3194 
180833	1.14.13.50	165883 233 75 	13936 13 765 286 
180890	2.1.1.88	0 121674 	4 5 121675 
180908	6.3.5.2	2534 63718 7 13 	9826 4 342 9 10 
180921	2.4.2.9	1446 10 	21635 325 
180953	1.14.13.-	244002 4 184 75 	93393 245 13 
180954	1.14.13.-	244003 4 233 75 	244004 13 286 
181003	2.4.1.7	115 1851 	145 142773 
181011	1.1.1.42	5587 286 	21 233 382 
181035	6.3.2.5	89875 7 20248 	4 9 10 154367 
181037		4 233 75 244092 	137397 13 286 
181048		1811 115 	1811 115 
181054	2.3.1.169	4 186 	522 172 
181075	1.14.13.7	4 233 6634 75 	1010 13 286 
181089	2.3.1.-	3570 4 244155 	112661 21 172 
181176	6.1.1.5	7 1626 	9 10 
181259	5.1.3.-	42625 	144257 
181279	6.1.1.12	45761 5765 	10 13358 
181294	2.5.1.9	47701 	47699 13566 
181350	5.1.3.18	42625 	63530 
181360	2.7.1.108	16804 98249 	244436 213516 
181400	4.2.1.8	17599 	17600 13 
181506	2.3.1.-	40202 244588 	244590 244589 
181521	5.1.3.3	100 	271 
181534	4.2.1.80	21265 13 	58360 
181541	2.4.1.-	244630 602 	244631 4 559 
181550	3.1.1.17	13 1582 	110 
181564	2.1.2.9	12375 13 	76029 
181644	2.4.1.-	602 133087 	4 18588 559 
181656	2.3.1.-	3570 4 249 	21 244744 172 
181751	5.4.99.18	17915 	144666 
181776		244868 	244869 
181821	4.1.1.80	4 3255 	4564 21 
181833	3.5.4.9	244931 13 	117028 
181857	1.4.3.5	75 138060 	6433 121 
181858	1.14.13.181	118450 4 233 75 	244949 13 286 
181887	2.1.1.-	0 198737 	4 5 244989 
181892	3.1.1.7	244997 13 	4 53 263 
181924		214930 342 	245038 13 
181965	3.6.1.31	245089 13 	245090 10 
181994	2.1.2.2	343 27485 	896 4 27487 
182017	2.6.1.7	44205 382 	116117 5767 
182194	1.14.13.-	4 18133 233 75 	74027 13 286 
182195	1.1.1.283	2386 123784 	2386 4 17801 
182236		76342 	245392 13 
182239	5.3.1.5	50883 	227526 
182334	2.8.3.12	27177 186 	53 56877 
182335	1.1.1.36	286 1022 	4 233 572 
182367	1.1.1.175	245 81150 	61843 4 1054 
182385		73831 	73831 
182412		31532 	222354 559 
182485	6.2.1.11	52992 7 172 	245671 9 10 
182517	5.5.1.19	203077 	3652 
182594	2.4.1.115	94371 602 	185151 559 
182639	2.6.1.62	238528 1418 	170323 127597 
182645	3.1.1.4	1314 13 	4 599 33559 
182685	2.3.1.79	736 186 155 	172 245868 
182689	1.1.1.288	245874 245 	93793 4 184 
182712	3.5.1.9	41512 13 	849 4 41513 
182720		1015 7 13 	115 1015 45 
182796	3.1.3.12	245987 13 	115 245988 
182860		13 102015 	67240 271 
182899		246112 4 	13 
182958	2.4.1.1	432 115 	208 145 
182991		246238 	126141 13 
183039	1.16.1.9	259 286 	4 233 
183120	3.5.1.6	4 23725 13 	21 120 3868 
183141	4.2.1.51	60931 4 	339 21 13 
183147	3.5.1.41	246415 13 	246416 53 
183161	1.14.13.-	4 18133 233 75 	13 286 246428 
183179	1.3.99.12	1025 90443 	1175 1358 
183439	2.3.1.16	186 186361 	186360 172 
183478	4.1.1.33	7 246763 	115 21 45 30 
183492	2.7.4.8	5765 13358 	4 5769 
183554	6.2.1.12	7 42857 172 	9 10 207788 
183593	1.3.8.-	38019 1357 	131959 1175 
183757	6.2.1.-	7 172 8444 	111040 115 45 
183807	2.6.1.89	382 165613 	342 247140 
183844	2.3.1.157	5892 186 	2641 4 172 
183860	5.1.1.-	247189 	247190 
183961	2.4.1.292	64400 247301 	4 247302 559 
183989	6.1.1.9	7 6575 	9 10 
184028		247377 4 	247377 4 
184032	2.7.1.-	39537 7 	67781 45 
184131	6.3.2.2	342 7 33708 	115 4 45 
184147	5.3.3.2	30 	1042 
184221	3.1.1.31	9693 13 	9694 
184242	2.3.1.1	3296 342 	26051 172 
184284		53629 	53629 
184313	2.6.1.16	72883 149354 	75717 72884 
184406	1.2.3.7	1273 75 13 	4 121 1275 
184569	1.1.1.262	245 9868 	21 101798 184 
184597	2.7.1.73	7 9037 	4 45 8366 
184601	2.7.7.77	129985 4 5290 	10 248030 
184604	5.1.2.-	248034 	57245 
184624	3.6.3.17	7 13 894 	115 4 45 894 
184686	1.1.1.244	245 40 	4 1816 1054 
184702	5.5.1.2	37473 	4 128807 
184742	2.2.1.2	932 232153 	16020 127295 
184759	1.14.16.4	6020 74939 75 	20878 22446 
184766	2.5.1.57	75716 1561 13 	115 220589 
184820	2.7.1.25	7 170956 	386 45 
184870	2.7.4.6	30160 7 	4 45 30159 
184882		248347 13 	248348 
184929	6.1.1.6	7 8 	9 10 
185012	1.2.1.11	115 1158 286 	233 50617 
185051	5.2.-.-	128647 	128647 
185159	2.1.1.44	0 10489 	248658 4 5 
185189	3.1.2.2	248688 13 	2050 22771 
185192	2.1.1.182	16436 	16437 
185231	4.2.1.20	326 233065 	6020 932 13 
185245	2.3.1.16	248739 2050 	3296 248740 
185249	2.7.7.2	4 7 154 	2546 10 
185263	2.7.7.22	3248 4 5769 	115 20547 
185279	1.3.99.3	1054 25391 	8229 245 
185402	6.2.1.14	14535 7 172 	1417 9 10 
185456	2.7.1.51	7 159333 	159334 4 45 
185469	3.6.4.12	7 13 	115 4 45 
185485	1.14.13.-	249010 4 233 75 	13 286 225501 
185542	1.14.13.-	4 244004 233 75 	9351 13 286 
185604	3.2.1.86	13 66174 	23204 61844 
185639	3.3.2.-	249177 13 	249178 
185707	1.1.1.1	4 184 1467 	245 23241 
185801	3.5.3.9	4 13 15725 	21 217 111674 
185832		386 249392 	249393 4 388 
185865	2.3.1.115	3570 195003 	57058 172 
185932	6.3.2.3	55 7 	115 4 1015 45 
186125	1.1.1.1	245 183740 	4 184 32285 
186252		4 282 	4 282 
186312		10478 	15416 13 
186321	4.1.1.41	4 48980 	8229 21 
186331	2.7.1.22	43426 7 	4 23497 45 
186509	1.3.1.75	4 233 250104 	286 14590 
186525	2.1.1.-	0 250127 	250128 4 5 
186539	3.6.1.-	148129 13 	97968 115 
186542	1.14.99.-	250151 	250152 
186637	2.4.1.227	2642 250261 	4 250262 559 
186693	3.3.2.-	249177 13 	250323 
186739	1.1.1.12	245 95535 	184 128538 
186807	5.3.1.22	647 	2926 
186851		250481 170 	250482 620 
187016		163570 	250649 
187020		169871 	52255 
187117	2.7.4.3	7 9 	45 
187138	2.4.1.-	5764 	1851 27007 
187222	2.4.2.-	59569 115 	154912 31162 
187253		7 13 3005 	115 45 3005 
187323	3.2.1.1	13 	3092 101 
187368	4.2.-.-	849 13 	849 
187376	1.3.1.27	5334 286 	196352 4 233 
187430	1.13.11.72	75 58203 	16080 849 4 
187438	2.7.7.41	131 4 251145 	251146 10 
187524		239735 233 75 	13 251245 286 
187644	2.7.6.3	7056 7 	6771 4 9 
187654	3.2.1.21	251366 13 	3092 232937 
187773	1.14.13.-	65539 4 233 75 	53144 13 286 
187797		251530 13 	4 43326 
187809	2.4.2.8	9826 10 	21635 191 
187813	1.17.3.2	266 75 13 	4774 121 
187829	2.4.1.327	251559 251560 	2912 4 251561 
187931	3.1.4.16	218900 13 	108194 4 
187952		4 7 	4 7 
188014	6.3.2.18	58851 342 7 	115 4 124141 45 
188020	1.14.99.-	251765 75 	251766 13 
188033	2.7.1.161	78947 131 	756 4 154 
188145		784 4862 	784 4862 
188195	1.14.11.1	37208 75 382 	22834 21 72 
188203	1.17.4.2	40402 13 	5290 
188250	1.3.1.43	1586 245 	21 184 122 
188287	3.5.4.6	9 13 	217 8366 
188298	1.14.14.5	150132 151 75 	4 886 154 13 35069 
188346	1.4.3.16	33848 75 	4 121 22223 
188462	4.2.1.-	17801 13 	4 17126 
188638	2.6.1.17	111846 382 	342 152618 
188738	5.3.1.25	1781 	159333 
188752	2.4.1.-	162594 602 	4 252504 559 
188875	1.14.13.152	4 14566 233 75 	52421 13 286 
188887	2.7.4.16	7 15257 	45 1069 
188906	1.1.1.25	181865 286 	4 181866 233 
188946	2.4.1.227	2642 252717 	4 17902 559 
189029	4.2.3.133	66 	10 252808 
189064	4.2.3.65	66 	252851 10 
189112	4.2.3.95	66 	252905 10 
189134	4.2.1.-	252935 13 	252937 252936 
189136	4.2.3.-	66 	252938 10 
189144	2.1.1.232	0 31419 	4 5 252940 
189234	4.2.1.125	253042 	13 84876 
189236		253045 	86195 13 
189298	1.5.1.17	245 253103 13 	4 184 170 620 
189319		4 217 16364 	229138 13 
189373	3.1.1.-	253180 	138320 13 
189389	2.1.1.201	66096 687 	34914 4 5 
189439	1.2.1.-	4 233 253244 	13 253245 286 
189507	5.4.2.9	4 1561 	109228 
189549	4.1.3.16	49103 	419 170 
189561	5.3.1.4	2638 	29049 
189594	3.6.3.21	7 8 13 	115 4 8 45 
189599		253405 	13 253406 
189619	3.1.1.22	92440 13 	6353 4 
189628	2.3.1.180	3296 	21 172 
189656		253474 	253475 172 
189667	1.14.13.-	4 233 75 253485 	217 286 253180 
189673	4.2.3.25	115 13 	173968 10 
189821	1.14.13.141	52724 4 184 75 	245 253657 13 
189888	1.14.13.-	233 75 55695 	253720 13 286 
189912		253750 13 	4 253751 3006 
189963	6.2.1.3	5120 2050 14857 	5121 253813 10 
189978	2.7.1.17	7 11995 	45 12094 
190004	4.2.3.-	66 	253857 10 
190009	2.1.1.44	0 10489 	4 5 95804 
190033	4.2.3.123	66 	10 253887 
190069	4.2.3.-	66 	10 253917 
190092	2.8.3.-	8229 72 	19755 2047 
190117	4.2.3.69	66 	253987 10 
190128	2.1.3.3	15888 8969 	115 22086 
190135	4.2.3.-	66 	254002 10 
190235	6.3.2.26	7 8728 20248 13 6575 	213920 4 9 10 
190385	[2.7.4.11, 2.7.4.13]	7 52841 	52840 45 
190405	4.3.1.15	254267 13 	4 217 170 
190425	4.2.3.-	66 	254288 10 
190429	4.2.3.-	66 	254292 10 
190437	2.1.1.-	47443 79346 	4 42501 254301 
190451	3.5.1.9	13 254318 	849 4 41513 
190483	4.2.1.34	220377 	87110 13 
190501	4.2.3.18	254365 	4275 10 
190513	4.3.1.17	326 	4 217 170 
190516		4 233 75 5902 	135401 13 286 
190530	1.17.1.4	245 266 13 	4 4774 184 
190568	5.5.1.19	254438 	118044 
190644	1.14.21.8	254515 4 233 75 	254516 13 286 
190654	3.7.1.3	41513 13 	4 7157 620 
190659	4.4.1.10	4 886 20248 	36840 1194 
190748		15889 	403 4 13 
190807	4.2.1.33	177975 	64138 
190891	1.14.13.81	4 233 75 244092 	213922 13 286 
190940	6.1.1.5	156657 4 7 	9 10 
190965		8259 115 	28288 1028 325 
190987	4.1.1.34	4 254886 	227526 21 
191025	2.7.7.60	131 4 191589 	74528 10 
191047	2.7.4.6	5120 254956 	87872 20441 
191080	2.3.1.133	96048 1890 	254998 172 
191082	1.8.4.10	4 886 9 	3642 
191094	2.7.1.6	5765 1007 	255008 4 5769 
191171	1.14.11.-	255094 75 382 	255095 21 1816 72 
191245	1.14.14.1	20128 4 233 75 	13 171756 286 
191283		3478 	26474 
191291		4 233 75 170463 	123281 13 286 
191352		111396 75 172 13 	121 666 186 
191415		673 1561 	676 170 
191428	3.1.3.5	63718 13 	115 105058 
191458	1.1.1.83	38048 245 	21 184 170 
191493	2.3.1.199	3570 4 30663 	21 172 255422 
191533	2.6.1.42	156657 382 	342 2060 
191631	1.13.11.14	13137 75 	4 255572 
191734	3.6.1.6	756 13 	115 4 221 
191761		53138 4 	53138 4 
191811	4.1.3.26	98591 	255746 53 
191863	1.11.1.8	7616 4 121 	252975 13 
191961	3.5.3.-	13 15726 	217 236168 
192001		4 342 	4 342 
192145	4.2.3.15	18860 	8422 10 
192159	3.6.1.42	476 13 	9826 115 4 
192184	3.1.3.75	11506 13 	115 617 
192192	6.3.1.9	75715 7 1015 	115 4 256127 45 
192235	4.2.1.46	87873 	13 5214 
192249	1.14.14.-	2544 59267 75 13 	2546 256176 4 13 765 
192266	2.1.1.64	9967 687 	4 76 2861 
192385	1.14.14.-	2544 256329 75 	2546 4 256330 13 
192392		256336 245 75 172 13 	256337 4 184 121 186 
192473	3.1.3.7	388 13 	115 9 
192519	4.2.1.49	256473 	19156 13 
192600		342 80189 	342 80189 
192620	3.5.2.7	256579 4 13 	72037 
192623	3.3.2.6	256583 13 	256584 
192625	1.2.1.76	135 172 286 	4 233 2047 
192666	4.1.3.-	256631 4 172 	31850 186 13 
192738		4 9036 	4 9036 
192755	3.1.3.46	26461 13 	115 16020 
192761	2.7.6.2	7 1995 	4 9 1069 
192762	1.2.1.42	245 5334 172 	2464 4 184 
192822	2.7.1.17	5765 227526 	4 5769 3663 
192859	3.2.2.14	23497 13 	194963 16098 4 
192907	2.8.2.4	94631 115736 	4 388 256874 
192935	2.6.1.66	170 6575 	337 620 
192955	1.14.19.-	2544 256917 75 765 	2546 256918 13 
192973	2.1.2.3	74835 23644 	4 23647 8367 
192999	2.3.1.191	17155 	17157 
193042	3.5.3.1	257010 13 	257011 4 3005 
193043	6.1.1.12	4 7 7626 	9 10 
193076	1.3.8.1	43710 	668 
